variant,round,metric,value
task4,402.0,score,0.34
task4,403.0,score,0.34
task4,404.0,score,0.34
task4,405.0,score,0.35
task4,406.0,score,0.35
task4,407.0,score,0.35
task4,408.0,score,0.34
task4,409.0,score,0.35
task4,410.0,score,0.34
task4,411.0,score,0.35
task4,412.0,score,0.35
task4,413.0,score,0.3
task4,414.0,score,0.32
task4,415.0,score,0.32
task4,416.0,score,0.36
task4,417.0,score,0.37
task4,418.0,score,0.37
task4,419.0,score,0.38
task4,420.0,score,0.38
task4,421.0,score,0.38
task4,422.0,score,0.38
task4,423.0,score,0.38
task4,424.0,score,0.4
task4,425.0,score,0.41
task4,426.0,score,0.41
task4,427.0,score,0.46
task4,428.0,score,0.46
task4,429.0,score,0.46
task4,430.0,score,0.46
task4,431.0,score,0.46
task4,432.0,score,0.46
task4,433.0,score,0.51
task4,434.0,score,0.51
task4,435.0,score,0.51
task4,436.0,score,0.52
task4,437.0,score,0.52
task4,438.0,score,0.52
task4,439.0,score,0.51
task4,440.0,score,0.52
task4,441.0,score,0.51
task4,442.0,score,0.51
task4,443.0,score,0.52
task4,444.0,score,0.52
task4,445.0,score,0.52
task4,446.0,score,0.53
task4,447.0,score,0.54
task4,448.0,score,0.56
task4,449.0,score,0.56
task4,450.0,score,0.57
task4,451.0,score,0.58
task4,452.0,score,0.57
task4,453.0,score,0.57
task4,454.0,score,0.59
task4,455.0,score,0.59
task4,456.0,score,0.57
task4,457.0,score,0.57
task4,458.0,score,0.57
task4,459.0,score,0.57
task4,460.0,score,0.57
task4,461.0,score,0.56
task4,462.0,score,0.56
task4,463.0,score,0.56
task4,464.0,score,0.56
task4,465.0,score,0.57
task4,466.0,score,0.55
task4,467.0,score,0.56
task4,468.0,score,0.57
task4,469.0,score,0.57
task4,470.0,score,0.57
task4,471.0,score,0.59
task4,472.0,score,0.59
task4,473.0,score,0.59
task4,474.0,score,0.6
task4,475.0,score,0.64
task4,476.0,score,0.64
task4,477.0,score,0.63
task4,478.0,score,0.64
task4,479.0,score,0.64
task4,480.0,score,0.65
task4,481.0,score,0.66
task4,482.0,score,0.66
task4,483.0,score,0.65
task4,484.0,score,0.65
task4,485.0,score,0.65
task4,486.0,score,0.61
task4,487.0,score,0.62
task4,488.0,score,0.65
task4,489.0,score,0.65
task4,490.0,score,0.66
task4,491.0,score,0.67
task4,492.0,score,0.65
task4,493.0,score,0.65
task4,494.0,score,0.64
task4,495.0,score,0.64
task4,496.0,score,0.64
task4,497.0,score,0.64
task4,498.0,score,0.64
task4,499.0,score,0.64
task4,500.0,score,0.65
task4,501.0,score,0.66
task4,502.0,score,0.66
task4,503.0,score,0.66
task4,504.0,score,0.67
task4,505.0,score,0.67
task4,506.0,score,0.67
task4,507.0,score,0.67
task4,508.0,score,0.67
task4,509.0,score,0.72
task4,510.0,score,0.72
task4,511.0,score,0.71
task4,512.0,score,0.71
task4,513.0,score,0.71
task4,514.0,score,0.7
task4,515.0,score,0.7
task4,516.0,score,0.66
task4,517.0,score,0.66
task4,518.0,score,0.66
task4,519.0,score,0.65
task4,520.0,score,0.66
task4,521.0,score,0.66
task4,522.0,score,0.68
task4,523.0,score,0.67
task4,524.0,score,0.64
task4,525.0,score,0.66
task4,526.0,score,0.66
task4,527.0,score,0.61
task4,528.0,score,0.62
task4,529.0,score,0.62
task4,530.0,score,0.63
task4,531.0,score,0.63
task4,532.0,score,0.63
task4,533.0,score,0.59
task4,534.0,score,0.6
task4,535.0,score,0.59
task4,536.0,score,0.58
task4,537.0,score,0.59
task4,538.0,score,0.59
task4,539.0,score,0.59
task4,540.0,score,0.58
task4,541.0,score,0.59
task4,542.0,score,0.59
task4,543.0,score,0.58
task4,544.0,score,0.58
task4,545.0,score,0.58
task4,546.0,score,0.56
task4,547.0,score,0.55
task4,548.0,score,0.53
task4,549.0,score,0.53
task4,550.0,score,0.52
task4,551.0,score,0.52
task4,552.0,score,0.52
task4,553.0,score,0.53
task4,554.0,score,0.51
task4,555.0,score,0.51
task4,556.0,score,0.51
task4,557.0,score,0.51
task4,558.0,score,0.51
task4,559.0,score,0.51
task4,560.0,score,0.51
task4,561.0,score,0.51
task4,562.0,score,0.53
task4,563.0,score,0.53
task4,564.0,score,0.53
task4,565.0,score,0.53
task4,566.0,score,0.53
task4,567.0,score,0.52
task4,568.0,score,0.52
task4,569.0,score,0.53
task4,570.0,score,0.53
task4,571.0,score,0.51
task4,572.0,score,0.52
task4,573.0,score,0.52
task4,574.0,score,0.52
task4,575.0,score,0.48
task4,576.0,score,0.49
task4,577.0,score,0.49
task4,578.0,score,0.48
task4,579.0,score,0.48
task4,580.0,score,0.48
task4,581.0,score,0.47
task4,582.0,score,0.47
task4,583.0,score,0.47
task4,584.0,score,0.47
task4,585.0,score,0.47
task4,586.0,score,0.46
task4,587.0,score,0.45
task4,588.0,score,0.43
task4,589.0,score,0.43
task4,590.0,score,0.42
task4,591.0,score,0.41
task4,592.0,score,0.42
task4,593.0,score,0.42
task4,594.0,score,0.42
task4,595.0,score,0.43
task4,596.0,score,0.44
task4,597.0,score,0.44
task4,598.0,score,0.43
task4,599.0,score,0.48
task4,600.0,score,0.47
task4,601.0,score,0.46
task4,602.0,score,0.46
task4,603.0,score,0.47
task4,604.0,score,0.46
task4,605.0,score,0.46
task4,606.0,score,0.47
task4,607.0,score,0.47
task4,608.0,score,0.47
task4,609.0,score,0.41
task4,610.0,score,0.41
task4,611.0,score,0.41
task4,612.0,score,0.42
task4,613.0,score,0.41
task4,614.0,score,0.4
task4,615.0,score,0.4
task4,616.0,score,0.4
task4,617.0,score,0.4
task4,618.0,score,0.4
task4,619.0,score,0.41
task4,620.0,score,0.4
task4,621.0,score,0.4
task4,622.0,score,0.38
task4,623.0,score,0.39
task4,624.0,score,0.39
task4,625.0,score,0.36
task4,626.0,score,0.36
task4,627.0,score,0.36
task4,628.0,score,0.35
task4,629.0,score,0.36
task4,630.0,score,0.36
task4,631.0,score,0.37
task4,632.0,score,0.37
task4,633.0,score,0.36
task4,634.0,score,0.35
task4,635.0,score,0.36
task4,636.0,score,0.36
task4,637.0,score,0.35
task4,638.0,score,0.35
task4,639.0,score,0.35
task4,640.0,score,0.36
task4,641.0,score,0.35
task4,642.0,score,0.36
task4,643.0,score,0.37
task4,644.0,score,0.38
task4,645.0,score,0.38
task4,646.0,score,0.38
task4,647.0,score,0.38
task4,648.0,score,0.38
task4,649.0,score,0.38
task4,650.0,score,0.39
task4,651.0,score,0.38
task4,652.0,score,0.38
task4,653.0,score,0.37
task4,654.0,score,0.37
task4,655.0,score,0.37
task4,656.0,score,0.37
task4,657.0,score,0.38
task4,658.0,score,0.38
task4,659.0,score,0.38
task4,660.0,score,0.38
task4,661.0,score,0.38
task4,662.0,score,0.38
task4,663.0,score,0.39
task4,664.0,score,0.39
task4,665.0,score,0.39
task4,666.0,score,0.39
task4,667.0,score,0.42
task4,668.0,score,0.41
task4,669.0,score,0.41
task4,670.0,score,0.41
task4,671.0,score,0.42
task4,672.0,score,0.41
task4,673.0,score,0.41
task4,674.0,score,0.4
task4,675.0,score,0.4
task4,676.0,score,0.39
task4,677.0,score,0.39
task4,678.0,score,0.39
task4,679.0,score,0.4
task4,680.0,score,0.39
task4,681.0,score,0.39
task4,682.0,score,0.4
task4,683.0,score,0.4
task4,684.0,score,0.4
task4,685.0,score,0.4
task4,686.0,score,0.46
task4,687.0,score,0.48
task4,688.0,score,0.48
task4,689.0,score,0.53
task4,690.0,score,0.53
task4,691.0,score,0.61
task4,692.0,score,0.6
task4,693.0,score,0.6
task4,694.0,score,0.6
task4,695.0,score,0.6
task4,696.0,score,0.59
task4,697.0,score,0.59
task4,698.0,score,0.58
task4,699.0,score,0.53
task4,700.0,score,0.53
task4,701.0,score,0.53
task4,702.0,score,0.53
task4,703.0,score,0.52
task4,704.0,score,0.53
task4,705.0,score,0.52
task4,706.0,score,0.51
task4,707.0,score,0.51
task4,708.0,score,0.51
task4,709.0,score,0.52
task4,710.0,score,0.53
task4,711.0,score,0.53
task4,712.0,score,0.52
task4,713.0,score,0.52
task4,714.0,score,0.52
task4,715.0,score,0.52
task4,716.0,score,0.53
task4,717.0,score,0.53
task4,718.0,score,0.53
task4,719.0,score,0.52
task4,720.0,score,0.52
task4,721.0,score,0.52
task4,722.0,score,0.52
task4,723.0,score,0.51
task4,724.0,score,0.52
task4,725.0,score,0.53
task4,726.0,score,0.53
task4,727.0,score,0.55
task4,728.0,score,0.54
task4,729.0,score,0.53
task4,730.0,score,0.53
task4,731.0,score,0.55
task4,732.0,score,0.55
task4,733.0,score,0.56
task4,734.0,score,0.56
task4,735.0,score,0.55
task4,736.0,score,0.55
task4,737.0,score,0.55
task4,738.0,score,0.55
task4,739.0,score,0.55
task4,740.0,score,0.54
task4,741.0,score,0.55
task4,742.0,score,0.54
task4,743.0,score,0.54
task4,744.0,score,0.53
task4,745.0,score,0.54
task4,746.0,score,0.54
task4,747.0,score,0.56
task4,748.0,score,0.56
task4,749.0,score,0.57
task4,750.0,score,0.56
task4,751.0,score,0.57
task4,752.0,score,0.58
task4,753.0,score,0.58
task4,754.0,score,0.58
task4,755.0,score,0.57
task4,756.0,score,0.57
task4,757.0,score,0.56
task4,758.0,score,0.57
task4,759.0,score,0.57
task4,760.0,score,0.57
task4,761.0,score,0.57
task4,762.0,score,0.55
task4,763.0,score,0.55
task4,764.0,score,0.56
task4,765.0,score,0.55
task4,766.0,score,0.55
task4,767.0,score,0.52
task4,768.0,score,0.52
task4,769.0,score,0.52
task4,770.0,score,0.52
task4,771.0,score,0.51
task4,772.0,score,0.51
task4,773.0,score,0.52
task4,774.0,score,0.52
task4,775.0,score,0.53
task4,776.0,score,0.53
task4,777.0,score,0.53
task4,778.0,score,0.56
task4,779.0,score,0.55
task4,780.0,score,0.56
task4,781.0,score,0.56
task4,782.0,score,0.55
task4,783.0,score,0.61
task4,784.0,score,0.61
task4,785.0,score,0.62
task4,786.0,score,0.56
task4,787.0,score,0.54
task4,788.0,score,0.53
task4,789.0,score,0.48
task4,790.0,score,0.48
task4,791.0,score,0.4
task4,792.0,score,0.4
task4,793.0,score,0.4
task4,794.0,score,0.4
task4,795.0,score,0.4
task4,796.0,score,0.4
task4,797.0,score,0.4
task4,798.0,score,0.4
task4,799.0,score,0.4
task4,800.0,score,0.4
task4,801.0,score,0.4
task4,802.0,score,0.4
task4,803.0,score,0.4
task4,804.0,score,0.39
task4,805.0,score,0.4
task4,806.0,score,0.41
task4,807.0,score,0.41
task4,808.0,score,0.41
task4,809.0,score,0.41
task4,810.0,score,0.41
task4,811.0,score,0.41
task4,812.0,score,0.41
task4,813.0,score,0.41
task4,814.0,score,0.41
task4,815.0,score,0.41
task4,816.0,score,0.4
task4,817.0,score,0.39
task4,818.0,score,0.39
task4,819.0,score,0.39
task4,820.0,score,0.4
task4,821.0,score,0.4
task4,822.0,score,0.4
task4,823.0,score,0.42
task4,824.0,score,0.41
task4,825.0,score,0.4
task4,826.0,score,0.41
task4,827.0,score,0.39
task4,828.0,score,0.4
task4,829.0,score,0.42
task4,830.0,score,0.41
task4,831.0,score,0.38
task4,832.0,score,0.38
task4,833.0,score,0.37
task4,834.0,score,0.37
task4,835.0,score,0.38
task4,836.0,score,0.4
task4,837.0,score,0.42
task4,838.0,score,0.42
task4,839.0,score,0.42
task4,840.0,score,0.42
task4,841.0,score,0.41
task4,842.0,score,0.42
task4,843.0,score,0.42
task4,844.0,score,0.42
task4,845.0,score,0.42
task4,846.0,score,0.43
task4,847.0,score,0.42
task4,848.0,score,0.42
task4,849.0,score,0.41
task4,850.0,score,0.41
task4,851.0,score,0.4
task4,852.0,score,0.39
task4,853.0,score,0.39
task4,854.0,score,0.39
task4,855.0,score,0.39
task4,856.0,score,0.39
task4,857.0,score,0.39
task4,858.0,score,0.38
task4,859.0,score,0.38
task4,860.0,score,0.38
task4,861.0,score,0.38
task4,862.0,score,0.39
task4,863.0,score,0.38
task4,864.0,score,0.38
task4,865.0,score,0.38
task4,866.0,score,0.4
task4,867.0,score,0.4
task4,868.0,score,0.4
task4,869.0,score,0.39
task4,870.0,score,0.39
task4,871.0,score,0.4
task4,872.0,score,0.41
task4,873.0,score,0.41
task4,874.0,score,0.42
task4,875.0,score,0.41
task4,876.0,score,0.41
task4,877.0,score,0.41
task4,878.0,score,0.38
task4,879.0,score,0.39
task4,880.0,score,0.38
task4,881.0,score,0.38
task4,882.0,score,0.39
task4,883.0,score,0.33
task4,884.0,score,0.35
task4,885.0,score,0.34
task4,886.0,score,0.34
task4,887.0,score,0.37
task4,888.0,score,0.37
task4,889.0,score,0.37
task4,890.0,score,0.38
task4,891.0,score,0.38
task4,892.0,score,0.39
task4,893.0,score,0.39
task4,894.0,score,0.39
task4,895.0,score,0.38
task4,896.0,score,0.38
task4,897.0,score,0.38
task4,898.0,score,0.38
task4,899.0,score,0.38
task4,900.0,score,0.38
task4,901.0,score,0.38
task4,902.0,score,0.38
task4,903.0,score,0.38
task4,904.0,score,0.38
task4,905.0,score,0.38
task4,906.0,score,0.37
task4,907.0,score,0.37
task4,908.0,score,0.37
task4,909.0,score,0.36
task4,910.0,score,0.35
task4,911.0,score,0.35
task4,912.0,score,0.35
task4,913.0,score,0.37
task4,914.0,score,0.37
task4,915.0,score,0.37
task4,916.0,score,0.38
task4,917.0,score,0.38
task4,918.0,score,0.38
task4,919.0,score,0.39
task4,920.0,score,0.38
task4,921.0,score,0.38
task4,922.0,score,0.38
task4,923.0,score,0.37
task4,924.0,score,0.37
task4,925.0,score,0.37
task4,926.0,score,0.36
task4,927.0,score,0.36
task4,928.0,score,0.35
task4,929.0,score,0.33
task4,930.0,score,0.34
task4,931.0,score,0.34
task4,932.0,score,0.34
task4,933.0,score,0.34
task4,934.0,score,0.35
task4,935.0,score,0.39
task4,936.0,score,0.37
task4,937.0,score,0.35
task4,938.0,score,0.35
task4,939.0,score,0.35
task4,940.0,score,0.35
task4,941.0,score,0.37
task4,942.0,score,0.36
task4,943.0,score,0.35
task4,944.0,score,0.36
task4,945.0,score,0.35
task4,946.0,score,0.35
task4,947.0,score,0.41
task4,948.0,score,0.41
task4,949.0,score,0.41
task4,950.0,score,0.42
task4,951.0,score,0.42
task4,952.0,score,0.43
task4,953.0,score,0.43
task4,954.0,score,0.43
task4,955.0,score,0.43
task4,956.0,score,0.44
task4,957.0,score,0.44
task4,958.0,score,0.44
task4,959.0,score,0.44
task4,960.0,score,0.44
task4,961.0,score,0.44
task4,962.0,score,0.43
task4,963.0,score,0.43
task4,964.0,score,0.48
task4,965.0,score,0.48
task4,966.0,score,0.46
task4,967.0,score,0.46
task4,968.0,score,0.46
task4,969.0,score,0.46
task4,970.0,score,0.47
task4,971.0,score,0.47
task4,972.0,score,0.46
task4,973.0,score,0.47
task4,974.0,score,0.46
task4,975.0,score,0.46
task4,976.0,score,0.46
task4,977.0,score,0.46
task4,978.0,score,0.46
task4,979.0,score,0.45
task4,980.0,score,0.45
task4,981.0,score,0.45
task4,982.0,score,0.44
task4,983.0,score,0.44
task4,984.0,score,0.42
task4,985.0,score,0.42
task4,986.0,score,0.42
task4,987.0,score,0.39
task4,988.0,score,0.39
task4,989.0,score,0.39
task4,990.0,score,0.41
task4,991.0,score,0.41
task4,992.0,score,0.4
task4,993.0,score,0.41
task4,994.0,score,0.41
task4,995.0,score,0.42
task4,996.0,score,0.43
task4,997.0,score,0.45
task4,998.0,score,0.46
task4,999.0,score,0.46
task4,1000.0,score,0.46
task4,1001.0,score,0.47
task4,1002.0,score,0.47
task4,1003.0,score,0.48
task4,1004.0,score,0.49
task4,1005.0,score,0.48
task4,1006.0,score,0.48
task4,1007.0,score,0.48
task4,1008.0,score,0.48
task4,1009.0,score,0.48
task4,1010.0,score,0.48
task4,1011.0,score,0.48
task4,1012.0,score,0.48
task4,1013.0,score,0.46
task4,1014.0,score,0.48
task4,1015.0,score,0.51
task4,1016.0,score,0.5
task4,1017.0,score,0.5
task4,1018.0,score,0.5
task4,1019.0,score,0.49
task4,1020.0,score,0.5
task4,1021.0,score,0.5
task4,1022.0,score,0.5
task4,1023.0,score,0.49
task4,1024.0,score,0.49
task4,1025.0,score,0.5
task4,1026.0,score,0.56
task4,1027.0,score,0.56
task4,1028.0,score,0.56
task4,1029.0,score,0.56
task4,1030.0,score,0.55
task4,1031.0,score,0.55
task4,1032.0,score,0.55
task4,1033.0,score,0.55
task4,1034.0,score,0.54
task4,1035.0,score,0.49
task4,1036.0,score,0.49
task4,1037.0,score,0.5
task4,1038.0,score,0.5
task4,1039.0,score,0.53
task4,1040.0,score,0.54
task4,1041.0,score,0.52
task4,1042.0,score,0.53
task4,1043.0,score,0.53
task4,1044.0,score,0.52
task4,1045.0,score,0.52
task4,1046.0,score,0.51
task4,1047.0,score,0.44
task4,1048.0,score,0.46
task4,1049.0,score,0.46
task4,1050.0,score,0.46
task4,1051.0,score,0.46
task4,1052.0,score,0.45
task4,1053.0,score,0.45
task4,1054.0,score,0.45
task4,1055.0,score,0.46
task4,1056.0,score,0.46
task4,1057.0,score,0.46
task4,1058.0,score,0.46
task4,1059.0,score,0.46
task4,1060.0,score,0.47
task4,1061.0,score,0.47
task4,1062.0,score,0.47
task4,1063.0,score,0.48
task4,1064.0,score,0.42
